   t 	           y 
    0.000	    1.000
    0.100	    0.985
    0.200	    0.961
    0.300	    0.927
    0.400	    0.885
    0.500	    0.835
    0.600	    0.777
    0.700	    0.713
    0.800	    0.643
    0.900	    0.568
    1.000	    0.489
    1.100	    0.406
    1.200	    0.321
    1.300	    0.235
    1.400	    0.148
    1.500	    0.061
    1.600	   -0.031
    1.700	   -0.135
    1.800	   -0.235
    1.900	   -0.332
    2.000	   -0.422
    2.100	   -0.507
    2.200	   -0.586
    2.300	   -0.656
    2.400	   -0.719
    2.500	   -0.774
    2.600	   -0.819
    2.700	   -0.856
    2.800	   -0.883
    2.900	   -0.901
    3.000	   -0.909
    3.100	   -0.909
    3.200	   -0.899
    3.300	   -0.880
    3.400	   -0.853
    3.500	   -0.818
    3.600	   -0.776
    3.700	   -0.726
    3.800	   -0.671
    3.900	   -0.609
    4.000	   -0.543
    4.100	   -0.473
    4.200	   -0.399
    4.300	   -0.323
    4.400	   -0.245
    4.500	   -0.167
    4.600	   -0.088
    4.700	   -0.010
    4.800	    0.070
    4.900	    0.147
    5.000	    0.222
    5.100	    0.292
    5.200	    0.359
    5.300	    0.420
    5.400	    0.477
    5.500	    0.527
    5.600	    0.571
    5.700	    0.608
    5.800	    0.639
    5.900	    0.662
    6.000	    0.679
    6.100	    0.688
    6.200	    0.691
    6.300	    0.686
    6.400	    0.675
    6.500	    0.657
    6.600	    0.633
    6.700	    0.603
    6.800	    0.567
    6.900	    0.527
    7.000	    0.482
    7.100	    0.434
    7.200	    0.382
    7.300	    0.327
    7.400	    0.270
    7.500	    0.211
    7.600	    0.151
    7.700	    0.091
    7.800	    0.032
    7.900	   -0.028
    8.000	   -0.086
    8.100	   -0.143
    8.200	   -0.197
    8.300	   -0.248
    8.400	   -0.295
    8.500	   -0.339
    8.600	   -0.378
    8.700	   -0.413
    8.800	   -0.443
    8.900	   -0.468
    9.000	   -0.488
    9.100	   -0.502
    9.200	   -0.512
    9.300	   -0.516
    9.400	   -0.514
    9.500	   -0.508
    9.600	   -0.497
    9.700	   -0.481
    9.800	   -0.460
    9.900	   -0.435
   10.000	   -0.407
   10.100	   -0.374
   10.200	   -0.339
   10.300	   -0.301
   10.400	   -0.261
   10.500	   -0.219
   10.600	   -0.176
   10.700	   -0.132
   10.800	   -0.087
   10.900	   -0.042
   11.000	    0.002
   11.100	    0.046
   11.200	    0.089
   11.300	    0.130
   11.400	    0.169
   11.500	    0.206
   11.600	    0.240
   11.700	    0.270
   11.800	    0.298
   11.900	    0.322
   12.000	    0.342
